+----------------------------------+------------------+
|             Section              | Similarity Score |
+----------------------------------+------------------+
|             ABSTRACT             |     0.281581     |
|          1 INTRODUCTION          |     0.238501     |
|           2 LITERATURE           |     0.353919     |
| 3 THE URBAN ENVIRONMENTS DATASET |     0.213504     |
|       4 EXPERIMENTAL SETUP       |     0.313728     |
|     5 RESULTS AND DISCUSSION     |     0.172133     |
|          6 CONCLUSIONS           |     0.263625     |
|     Average Similarity (LSA)     |     0.262427     |
+----------------------------------+------------------+

+----------------------------------+-------------------------+
|             Section              | Similarity Score (BART) |
+----------------------------------+-------------------------+
|             ABSTRACT             |         0.291730        |
|          1 INTRODUCTION          |         0.120168        |
|           2 LITERATURE           |         0.200739        |
| 3 THE URBAN ENVIRONMENTS DATASET |         0.230067        |
|       4 EXPERIMENTAL SETUP       |         0.232689        |
|     5 RESULTS AND DISCUSSION     |         0.244949        |
|          6 CONCLUSIONS           |         0.382546        |
|    Average Similarity (BART)     |         0.243270        |
+----------------------------------+-------------------------+
